club_name,urls
Cape Atlantic Rockhounds Inc.,http://www.capeatlanticrockhounds.com/
Delaware Valley Earth Science Society,http://www.dvess.org/
Friends of Mineralogy - New Jersey Chapter,https://fomnj.wordpress.com/
Morris Museum Mineralogical Society,http://morrismuseum.org/mineral-society/
"New Jersey Mineralogical Society, Inc",http://www.njmin.org/
"North Jersey Mineralogical Society, Inc.",http://www.nojms.webs.com/
,
Albuquerque Gem & Mineral Club,http://www.agmc.info/
Carlsbad Gem and Mineral Society,http://www.carlsbadgms.org/
Deming Gem & Mineral Society,http://www.thedgms.com/
"Grant County Rolling Stones Gem & Mineral Society, Inc.",http://rollingstonesgms.blogspot.com/
Los Alamos Geological Society,http://pweb.netcom.com/~hoffmans/LAGS.html
,
"Buffalo Geological Society, Inc.",http://www.bgsny.org/
Capital District Mineral Club,http://capitaldistrictmineralclub.com/
"Gem and Mineral Society of Syracuse, Inc.",http://www.gmss.us/
Island Rockhounds Inc.,http://www.islandrockhounds.org/
Long Island Mineral & Geology Society,http://www.limineralandgeology.com/LiMags/Home.html
Mid-Hudson Valley Gem and Mineral Society Inc.,http://mhvgms.org/index.html
Nassau Mineral Club,http://nassaumineralclub.org/
New York Mineralogical Club,http://www.newyorkmineralogicalclub.org/
New York Paleontological Society,http://www.nyps.org/index.htm
Orange County Mineral Society,http://www.orangecountymineralsocietynewyork.com/
Rochester Academy of Science,http://www.rasny.org/
Rochester Lapiday Society,http://www.rochesterlapidary.org/
St. Lawrence County Rock & Mineral Club,http://stlawrencecountymineralclub.org/
Suffolk Gem & Mineral Club,http://www.suffolkgem.com/
Wayne County Gem and Mineral Club,http://www.wcgmc.org/
,
Cape Fear Mineral & Gem Society,http://www.mercergarden.com/GemClub.html
Catawba Valley Gem & Mineral Club,http://www.cvgmc.com/
Central North Carolina Mineral Club,http://www.centralncmineralclub.org/
Charlotte Gem & Mineral Club,http://www.charlottegem.com/
Forsyth Gem and Mineral Club,http://www.forsythgemclub.com/fgmcmain.html
"Gaston Gem, Mineral and Faceters Club",http://gastongemclub.weebly.com/
Gem & Mineral Society of Franklin,http://www.fgmm.org/
Greensboro Gem & Mineral Club,http://www.ggmc-rockhounds.com/
Henderson County Gem and Mineral Society,http://hcgms.com/index.html
Mountain Area Gem and Mineral Association (MAGMA),http://www.wncrocks.com/magma/magma.html
North Carolina Fossil Club,http://www.ncfossilclub.org/
Southern Appalachian Mineral Society,http://www.main.nc.us/sams/
Tar Heel Gem & Mineral Club,http://www.tarheelclub.org/
,
Central Dakota Gem & Mineral Society,https://ndrockclub.org/
,
Brukner Gem and Mineral Club,http://www.bruknergemandmineralclub.com/
Cincinnati Mineral Society,http://mineralsociety.org/
Columbus Rock and Mineral Society,http://www.columbusrockandmineralsociety.org/
Dayton Gem & Mineral Society,https://www.facebook.com/The-Dayton-Gem-Mineral-Society-140478502678195/
Dry Dredgers,http://drydredgers.org/
Greater Cincinati Lapidary and Faceting Society,http://cincinnatilapidary.weebly.com/
North Coast Fossil Club,http://ncfclub.org/
Ohio Geological Society,https://ohiogeosoc.org/
Parma Lapidary Club,http://www.parmalapidary.com/
Richland Lithic & Lapidary Society,http://rlls.webs.com/
Summit Lapidary Club,http://lapidaryclubofohio.org/
Toledo Gem & Rockhound Club,http://rockyreader.com/
,
"Ada Gem, Mineral and Fossil Club",http://www.freewebs.com/agmfc/
Enid Gem & Mineral Society,http://www.enidgemandmineral.org/
Oklahoma Mineral and Gem Society,http://omgs-minerals.org/
Shawnee Gem and Mineral Society,https://www.facebook.com/Shawnee-Gem-and-Mineral-Society-524175917629452/
Tulsa Rock and Mineral Society,http://www.ttownrockhound.org/
Tahlequah Rock and Mineral Society,http://tramsok.webs.com/
,
Central Oregon Rock Collectors,https://corockcollectors.com/
Clackamette Mineral and Gem Club,http://www.clackamettegem.org/
Columbia-Willamette Faceters' Guild,http://facetersguild.com/
FarWest Lapidary & Gem Society,http://www.farwestlapidary.org/
Hatrockhounds Gem and Mineral Society,http://jall23.wixsite.com/hatrockhounds
Millennium Diggers Club,http://www.millenniumdiggers.com/
Mt Hood Rock Club,https://mthoodrockclub.wordpress.com/
North American Research Group,http://narg-online.com/
"Oregon Agate & Mineral Society, Inc.",http://www.oregonagate.org/
Oregon Coast Agate Club,http://www.coastagates.org/
Prineville Rockhound Pow-Wow Assoc.,http://prineville.rocks/
Rock and Arrowhead Club of Klamath Falls,http://www.klamathrockclub.org/
Springfield Thunderegg Rock Club,http://thundereggrockclub.blogspot.com/
Tualatin Valley Gem Club,https://tvrgc.org/
"Willamette Agate and Mineral Society, Inc.",http://www.wamsi.net/
